I understand that my participation is voluntary and that I am free to withdraw at any time without giving any reason. I also understand that my data will be treated confidentially and any publication resulting from this work will report only data that does not identify me.,What is your age?,In what country do you work?,What is your self-identified sex?,What would you describe as your current occupation?,Other (please specify),"Are you currently in academia (as a researcher, advisor, student, etc.)? If you are a practicing psychologist (e.g. educational, clinical) or training to be one, please select ""Practicing psychologist"".",PhD or Doctorate student,Postdoctoral researcher,Assistant lecturer/Research associate,Lecturer/Assistant professor,Senior lecturer/Associate professor,Reader/Professor,Professor/Distinguished professor,Trainee practicing psychologist,Practicing psychologist,Other (please specify),Have you left academia (including your practicing psychology course/profession) or are considering leaving it?,You believe the stress of the job is too high,You want a better work-life balance,"You have experienced frustration/despair at uncertainty of how much of the literature is true due to QRP's, publication bias, etc.",You are intimidated by the culture of criticism,You have experienced workplace bullying/harassment,You believe the pay is too low,You have been (in your view) harshly criticized because of your work,You have experienced frustration/despair due to being unable to replicate other scientist's published studies,You do not believe the rewards/incentives to stay are great enough or are too delayed,You do not feel the work you are performing is a benefit to society,You do not feel the field is progressing,You dislike the lack of control over your location,You dislike the large amount of effort required to gain funding,Other (please specify and state how relevant it is),"Thank you for participating in this survey. If you have any questions or comments, please don't hesitate to contact me at psychbrief@gmail.com or write in the box below."
Yes,30-39,United States of America,female,Physical Sciences,,Yes,,Postdoctoral researcher,,,,,,,,,Currently in but planning on leaving,5,5,1,3,3,5,3,1,5,4,2,5,5,,
Yes,50-59,Spain,Male,Other (please specify),Supplier of academic internship programs,No,,,,,,Reader/Professor,,,,,Left,1,1,2,2,1,3,1,1,4,3,3,4,1,"Got tired of taking my job much more seriously than my clients (students) did, with resulting frustration.",
Yes,21-29,United States of America,Female,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Currently in but planning on leaving,3,3,3,1,2,1,1,1,5,5,5,4,3,,
Yes,50-59,Canada,m,Industry,,No,,,,Lecturer/Assistant professor,,,,,,,Left,3,2,3,2,5,3,2,1,5,1,1,5,2,,
Yes,30-39,United Kingdom of Great Britain and Northern Ireland,FEMALE,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Currently in but planning on leaving,4,4,5,3,1,4,1,1,4,3,3,1,2,"I just do not like the politics of research, social psychology is a nightmare - research is not what I thought it was. Like a lot of public sector, it has become mostly target driven and lost a lot of meaning, very sadly. ",
Yes,30-39,United Kingdom of Great Britain and Northern Ireland,male,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Considered in the past whether to leave but have (currently) chosen to stay,2,1,4,1,1,5,1,3,3,4,2,4,3,,
Yes,21-29,United Kingdom of Great Britain and Northern Ireland,-,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Considering leaving,1,4,5,1,1,4,1,1,3,5,5,1,2,,
Yes,21-29,United Kingdom of Great Britain and Northern Ireland,Female,Life sciences,,Yes,PhD or Doctorate student,,,,,,,,,,Considered in the past whether to leave but have (currently) chosen to stay,4,4,5,4,4,2,3,3,4,4,5,1,3,"Rewards and promotion are based on the wrong aspects of the job (highly relevant). Explanation: publication is more important than anything. This doesn't encourage PhDs and postdocs to learn new skills as that will take up too much of their time, and means you end up with some professors encouraging their staff to ignore results or participants that do not fit with the theory.",
Yes,30-39,Netherlands,Male,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Considering leaving,4,4,1,1,1,2,1,2,2,1,1,5,5,,
Yes,21-29,Norway,Female,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Currently in but planning on leaving,4,4,3,4,1,3,2,3,3,2,3,3,3,"The work environment being very individualistic, with many large egos - highly relevant",
